2025-03-27 17:52:01.968 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=19.7%, Memory=59.2%, Disk=89.4%
2025-03-27 17:52:12.190 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=41.3%, Memory=59.6%, Disk=89.4%
2025-03-27 17:52:22.196 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=21.8%, Memory=59.5%, Disk=89.4%
2025-03-27 17:52:32.200 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=9.3%, Memory=59.5%, Disk=89.4%
2025-03-27 17:52:42.208 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=28.5%, Memory=59.3%, Disk=89.4%
2025-03-27 17:52:52.226 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=8.3%, Memory=59.3%, Disk=89.4%
2025-03-27 17:53:02.236 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=53.1%, Memory=59.4%, Disk=89.4%
2025-03-27 17:53:12.245 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=29.1%, Memory=59.4%, Disk=89.4%
2025-03-27 17:53:22.263 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=35.1%, Memory=59.3%, Disk=89.4%
2025-03-27 17:53:32.280 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=20.2%, Memory=59.2%, Disk=89.4%
2025-03-27 17:53:42.292 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=38.0%, Memory=59.5%, Disk=89.4%
2025-03-27 17:53:52.300 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=9.0%, Memory=58.8%, Disk=89.4%
2025-03-27 17:54:02.311 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=14.3%, Memory=59.2%, Disk=89.4%
2025-03-27 17:54:12.316 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=8.5%, Memory=59.2%, Disk=89.4%
2025-03-27 17:54:22.326 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=8.8%, Memory=59.2%, Disk=89.4%
2025-03-27 17:54:32.334 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=11.8%, Memory=59.6%, Disk=89.4%
2025-03-27 17:54:37.333 | CRITICAL | LogAnalysis:log_analysis:291 - SQL Injection attempt detected in URL: /search?query=; ls -la from IP: 203.42.255.19
2025-03-27 17:54:37.333 | CRITICAL | LogAnalysis:log_analysis:291 - Command injection attempt detected in URL: /search?query=; ls -la from IP: 203.42.255.19
2025-03-27 17:54:42.342 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=53.9%, Memory=60.2%, Disk=89.4%
2025-03-27 17:54:52.366 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=40.9%, Memory=60.4%, Disk=89.4%
2025-03-27 17:55:02.374 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=24.7%, Memory=60.3%, Disk=89.4%
2025-03-27 17:55:12.377 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=11.2%, Memory=60.0%, Disk=89.4%
2025-03-27 17:55:22.387 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=30.8%, Memory=59.8%, Disk=89.4%
2025-03-27 17:55:32.398 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=6.4%, Memory=59.5%, Disk=89.4%
2025-03-27 17:55:42.404 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=41.7%, Memory=58.0%, Disk=89.4%
2025-03-27 17:55:52.482 | INFO     | LogAnalysis:monitor_resources:49 - Resource Usage: CPU=23.1%, Memory=58.0%, Disk=89.4%
2025-03-27 18:10:18.073 | CRITICAL | LogAnalysis:log_analysis:291 - SQL Injection attempt detected in URL: /account?user=' UNION SELECT * FROM users; -- from IP: 172.196.234.67
